Index,Smiles
272,C1NC2C=NOC12
273,C1NC2COC1C2
274,C1NC2=COC=C12
275,C1NC2COCC12
276,C1NC2=CON=C12
277,C1NC2=NOC=C12
278,C1OC1C1CNC1
279,C1C2CNCC1O2
280,C1OC2CNCC12
281,C1NN=CC2OC12
282,C1NN=COC=C1
283,C1OC2=CNC=C12
284,C1OC2=CNN=C12
285,C1OC2C=NNC12
286,C1OC2C=NOC12
287,C1OC2=CON=C12
288,C1OC2=NNC=C12
289,C1OC2=NOC=C12
290,C1C2COCC1N2
291,C1OC=CC2NC12
292,C1OC=CC=NO1
293,C1OCC=NN=C1
294,C1C2COC=NN12
295,C1C2CON=CC12
296,C1ON=CC2NC12
297,C1ON=CC2OC12
298,C1ON=CCC=C1
299,C1C2CON=CN12
300,C1ON=CNC=C1
301,C1ON=COC=C1
302,CC12CC1C=NO2
303,CC12CNCC1O2
304,CC12COCC1N2
305,CC1C2ON=CC12
306,CC1CC1C=NO
307,CC1CC1C(N)=O
308,CC1CC1(N)CO
309,CC1CC1NC=O
310,CC1CC1(O)CN
311,CC1CC1ON=C
312,CC1=CC=CN1O
313,CC1=CC=C(N)O1
314,CC1(C)CC=NO1
315,CC1CC(C)=NO1
316,CC1CC(CN)O1
317,CC1CCC=NO1
318,CC1=CC(C)=NO1
319,C=C1CCC(=O)N1
320,CC1=CCC(=O)N1
321,CC1(C)CC(=O)N1
322,CC1CC(CO)N1
323,CC1CCC(=O)N1
324,CC1=CC=C(O)N1
325,CC1(CCN1)C=O
326,CC1C(C)N1C=O
327,CC1CC(N1)C=O
328,CC1CCN1C=O
329,C=C1C=CNC1=O
330,C=C1CCNC1=O
331,CC1=CC=NC1=O
332,CC1=CCNC1=O
333,CC1(C)C(N)C1O
334,CC1(C)CNC1=O
335,CC1C=CNC1=O
336,CC1CC(N)C1O
337,CC1CCNC1=O
338,CC1=CC(N)=CO1
339,CC1=CC(N)CO1
340,CC1(CCN)CO1
341,CC1CC(N)CO1
342,CC1=C(O)NC=C1
343,CC1=CC=NN1O
344,CC1=CC(N)=NO1
345,CC1CC(=N)NO1
346,CC1=CN(O)C=C1
347,CC1=CC=NOC1
348,CC1=NN(O)C=C1
349,CC1=CC(=N)ON1
350,CC1(CCO1)C#N
351,CC1CC(O1)C#N
352,CC1=C(N)OC=C1
353,CC1CC(O)C1N
354,CC1=CC(=O)C=N1
355,CC1(CCO)CN1
356,CC1CC(=O)CN1
357,CC1CC(O)CN1
358,CC1=CC(O)=CN1
359,CC1C(C=O)N1C
360,CC1C(CO)N1C
361,CC1CC(=O)N1C
362,CC1CC(=O)N1N
363,CC1CC(=O)N1O
364,C=C1CCON=C1
365,CC1=CC(=O)NC1
366,CC1=CC(=O)N=C1
367,CC1=CCON=C1
368,CC1(C)CON=C1
369,CC1CCON=C1
370,CC1CC(=O)NN1
371,CC1=CC(=O)NN1
372,CC1=CC(=O)NO1
373,CC1CC(=O)NO1
374,CC1=NOC(O)=C1
375,CC1=CC(=O)ON1
376,CC1(CN1)C1CO1
377,CC1CN1CCO
378,CC1CN1C(C)=O
379,CC1CN1CC=O
380,CC1CN1C=NO
381,CC1CN1C(N)=O
382,CC1CN1NC=O
383,CC1CNC1CO
384,CC1(C)NC1CO
385,CC1(CNC1)C=O
386,CC1C(N)C1CO
387,CC1C(N)C1(C)O
388,CC1CN(C1)C=O
389,CC1CNC1C=O
390,CC1CNCC1O
391,C=C1CNCC1=O
392,CC1=CN=CC1=O
393,CC1(C)NCC1O
394,CC1(C)NCC1=O
395,CC1(CN)CC1O
396,CC1C(N)CC1O
397,CC1CN(C)C1=O
398,CC1CNCC1=O
399,CC1=CN=C(C)O1
400,CC1CNCCO1
401,C=C1CNCCO1
402,CC1(CN)CCO1
403,CC1=CN=CN1O
404,CC1CN=CN1O
405,CC1=CN=C(N)O1
406,CC1CN=CNO1
407,CC1CNC(=N)O1
408,C=C1CNC(=O)C1
409,CC1=CNC(=O)C1
410,CC1(CN)COC1
411,CC1CNC(=O)C1
412,C=C1CNC(=O)N1
413,CC1CNC(=O)N1
414,CC1=CNC(=O)N1
415,CC1=CNC(=O)O1
416,CC1CNC(=O)O1
417,CC1=CNC=C1O
418,CC1=CNC(=N)O1
419,CC1=CNC(O)=C1
420,CC1=CNC(=O)N1
421,CC1=CNC(=O)N1
422,CC1=CNC(=O)O1
423,CC1=CNNC1=O
424,CC1=CNOC1=N
425,CC1=CNOC1=O
426,C=C1C=NNC1=O
427,C=C1CNNC1=O
428,CC1C=NNC1=O
429,CC1CN(N)C1=O
430,CC1CNNC1=O
431,C=C1CNN=CO1
432,CC1CNN=CO1
433,CC1=CN(O)N=C1
434,CC1=C(C)C=NO1
435,CC1=C(O)ON=C1
436,C=C1C=NOC1=O
437,CC1C=NOC1=O
438,CC1CN(O)C1=O
439,CC1=CN(O)C=N1
440,CC1CN(O)C=N1
441,CC1(CO1)C1CN1
442,CC1COC1CN
443,CC1(C)OC1CN
444,CC1(COC1)C#N
445,CC1C(O)C1CN
446,CC1C(O)C1(C)N
447,CC1C(O)C1C#N
448,CC1COC1C#N
449,CC1=COC=C1N
450,CC1COCC1N
451,CC1=COCC1N
452,CC1(C)OCC1N
453,CC1(CO)CC1N
454,CC1=NC(C)=CO1
455,CC1COCCN1
456,CC1(CO)CCN1
457,CC1C(O)CN1C
458,CC1=COC(N)=C1
459,CC1(CO)CNC1
460,CC1=COC(N)=N1
461,C=C1COC(=N)N1
462,CC1COC=NN1
463,CC1COC(=N)N1
464,CC1=COC(=N)N1
465,CC1(C)OC=NO1
466,CC1COC=NO1
467,CC1=COC(=O)N1
468,C=C1COC(=O)N1
469,CC1COC(=O)N1
470,CC1=COC(=O)N1
471,CC1=CON=C1C
472,CC1CON=C1C
473,CC1=CON=C1N
474,C=C1CONC1=N
475,CC1CONC1=N
476,CC1=CONC1=O
477,C=C1CONC1=O
478,CC1CONC1=O
479,C=C1CON=CC1
480,CC1CON=CC1
481,C=C1CON=CN1
482,CC1CON=CN1
483,C=C1CON=CO1
484,CC1CON=CO1
485,CC1NC1C1CO1
486,CC1NC1CCO
487,CC1NC1(C)CO
488,CC1NC1C(C)=O
489,CC1NC1CC=O
490,CC1NC1C=NO
491,CC1NC1C(N)=O
492,CC1NC1C(O)=O
493,CC1NCC1CO
494,CC1(N)CC1CO
495,CC1(N)CC1(C)O
496,CC1NCC1(C)O
497,CC1NCC1C=O
498,CC1NCC2OC12
499,CC1NCCC1O
500,CC1=NC=CC1=O
501,CC1(N)CCC1O
502,CC1N(C)CC1=O
503,CC1NC(C)C1O
504,CC1NC(C)C1=O
505,CC1NCCC1=O
506,CC1=NC=CN1O
507,CC1=NCCN1O
508,CC1=NC=C(N)O1
509,CC1(N)CCOC1
510,CC1(N)CC(O)C1
511,CC1=NCCON1
512,CC1=NCC(=O)N1
513,CC1=NC=C(O)N1
514,CC1=NC=C(O)O1
515,C=C1N=CNC1=O
516,CC1=NC=NC1=O
517,CC1(N)C(N)C1O
518,CC1(N)CNC1=O
519,CC1N=CNC1=O
520,CC1=NC(N)=CO1
521,C=C1NC(=N)CO1
522,CC1=C(C)N=CO1
523,CC1NC(=O)C1C
524,CC1=C(N)OC=N1
525,CC1NC(=O)C1N
526,CC1=C(O)OC=N1
527,CC1(N)C(O)C1O
528,CC1(N)COC1=O
529,CC1NC(=O)C1O
530,C=C1NC(=O)C=C1
531,CC1=NC(=O)C=C1
532,CC1(N)COC=C1
533,CC1NC(=O)C=C1
534,CC1=NC(=O)C=N1
535,CC1=NC(O)=CN1
536,CC1=NC(O)=CO1
537,C=C1NC(=O)CO1
538,C=C1NC(=O)N=C1
539,CC1=NC(=O)N=C1
540,CC1(N)CON=C1
541,CC1=C(O)C=CN1
542,CC1=C(O)N=CN1
543,CC1=C(O)C=NN1
544,CC1=NNCC1O
545,CC1=NN=CC1O
546,CC1=NN=CC1=O
547,CC1NN=CC1O
548,CC1=NN=C(C)O1
549,CC1=NNCCO1
550,CC1=NN=CCO1
551,CC1=NN=COC1
552,CC1=NNC(=O)C1
553,CC1=C(C)N=NO1
554,CC1=NOC2CC12
555,CC1=NOCC1=C
556,CC1=NOC=C1N
557,CC1=NOCC1N
558,CC1=NOC=C1O
559,CC1=NOCC1O
560,CC1=NOCCC1
561,CC1=NOCC=C1
562,CC1=NC(C)=NO1
563,CC1=NOCCO1
564,CC1=NOCOC1
565,CC1=NOC(=O)C1
566,CC1=NON=C1C
567,CC1OC1C1CN1
568,CC1OC1CCN
569,CC1OC1(C)CN
570,CC1OC1CC#N
571,CC1OC1C=NN
572,CC1OC1C(N)=N
573,CC1OC1C=NO
574,CC1OC1C(N)=O
575,CC1OCC1CN
576,CC1(O)CC1CN
577,CC1OCC1(C)N
578,CC1OCC1C#N
579,CC1OCC2NC12
580,C=C1OCC2NC12
581,CC1=C(N)C=CO1
582,CC1OCCC1N
583,CC1(O)CCC1N
584,CC1OC=CC1N
585,CC1OC(C)C1N
586,CC1(O)CCNC1
587,CC1(O)CC(N)C1
588,CC1OCC=NO1
589,CC1=C(N)N=CO1
590,C=C1OC=NC1=N
591,CC1(O)C(N)C1N
592,CC1=C(O)N=CO1
593,C=C1OC=NC1=O
594,CC1(O)C(N)C1O
595,CC1(O)CNC1=O
596,C=C1OC=NN=C1
597,CC1(O)C=NN=C1
598,CC1(O)CNN=C1
599,CC1OC=NN=C1
600,CC1OC(=O)C1N
601,C=C1OCON=C1
602,CC1(O)CON=C1
603,CC1OCON=C1
604,CC1ON=CC1C
605,CC1ON=CC1=C
606,CC1=C(N)C=NO1
607,CC1ON=CC1N
608,CC1=C(O)C=NO1
609,CC1ON=CC1O
610,CC1ON=CC=C1
611,CC1ON=C(C)O1
612,CCC1=CC=NO1
613,C=CC1=CC=NO1
614,C#CC1=CC=NO1
615,C=CC1CC=NO1
616,C#CC1CC=NO1
617,CCC1CC=NO1
618,CCC1=NOC=C1
619,C=CC1=NOC=C1
620,C#CC1=NOC=C1
621,C=CC1CC(=O)N1
622,CCC1CC(=O)N1
623,C=CC1CN1C=O
624,CCC1CN1C=O
625,C=CC1CNC1=O
626,CCC1C(N)C1O
627,CCC1CNC1=O
628,CCC1=CN=CO1
629,C=CC1=CN=CO1
630,C#CC1=CN=CO1
631,CCC1(CN)CO1
632,CCC1=CN=NO1
633,C=CC1=CN=NO1
634,C#CC1=CN=NO1
635,CCC1=CON=C1
636,C=CC1=CON=C1
637,C#CC1=CON=C1
638,CCC1=NON=C1
639,C=CC1=NON=C1
640,C#CC1=NON=C1
641,CCC1=COC=N1
642,C=CC1=COC=N1
643,C#CC1=COC=N1
644,CCC1(CO)CN1
645,C=CC1CON=C1
646,C#CC1CON=C1
647,CC=C1CON=C1
648,CCC1CON=C1
649,CCC1=CON=N1
650,C=CC1=CON=N1
651,C#CC1=CON=N1
652,CCC1NC1CO
653,C=CC1NC1C=O
654,CCC1NC1C=O
655,CCC1NCC1O
656,C=CC1NCC1=O
657,CCC1(N)CC1O
658,CCC1NCC1=O
659,CCC1=NC=CO1
660,C=CC1=NC=CO1
661,C#CC1=NC=CO1
662,CCC1=NC=NO1
663,C=CC1=NC=NO1
664,C#CC1=NC=NO1
665,CCC1(N)COC1
666,CCC1=NOC=N1
667,C=CC1=NOC=N1
668,C#CC1=NOC=N1
669,CCC1=NN=CO1
670,C=CC1=NN=CO1
671,C#CC1=NN=CO1
672,C=CC1=NOCC1
673,C#CC1=NOCC1
674,CCC1=NOCC1
675,C=CC1=NOCO1
676,C#CC1=NOCO1
677,CCC1=NOCO1
678,CCC1OC1CN
679,C=CC1OC1C#N
680,C#CC1OC1C#N
681,CCC1OC1C#N
682,CCC1OCC1N
683,CCC1(O)CC1N
684,CCC1(O)CNC1
685,C=CC1OC=NO1
